src_id,mean_requests_per_sec,avg_packet_size,iat_variance,burst_duration,label
ATTACKER_1,123.33810000000001,1149.465,0.00019327627851851867,1000,1
BOT_1,65.4427,994.4433333333334,0.0007796481030100343,220,2
BOT_10,66.36953333333334,981.6733333333333,0.000744886534671126,225,2
BOT_2,67.8098,997.1366666666667,0.0006764015232998885,230,2
BOT_3,64.41613333333333,1006.3833333333333,0.0007631084926421419,207,2
BOT_4,65.1981,981.7666666666667,0.0007384293283166112,208,2
BOT_5,64.3361,987.55,0.0007199457096989974,207,2
BOT_6,62.0413,986.2166666666667,0.0007931144370122634,190,2
BOT_7,65.73456666666667,987.32,0.0007553859973244146,213,2
BOT_8,64.20683333333334,995.5166666666667,0.0007147575919732445,215,2
BOT_9,64.13926666666666,1018.7433333333333,0.0008248633323299895,210,2
EV_1,2.05945,398.825,0.11302283929648244,0,0
EV_10,1.9519499999999999,395.09,0.10540769286432158,0,0
EV_11,2.0075,389.03,0.1302315054271356,0,0
EV_12,1.9603,397.705,0.13074803454773873,0,0
EV_13,2.0524,394.17,0.10680557967336686,0,0
EV_14,2.05055,389.62,0.12055887615577887,0,0
EV_15,2.0467,389.615,0.12520621819095487,0,0
EV_16,2.02855,408.68,0.11601639796482414,0,0
EV_17,1.9699,405.895,0.13901967839195978,0,0
EV_18,2.03735,402.96,0.12434218027638197,0,0
EV_19,2.0821,405.28,0.12674484861809046,0,0
EV_2,2.0090500000000002,397.67,0.12205290047738701,0,0
EV_20,1.97295,403.955,0.12511495226130653,0,0
EV_3,1.92465,390.76,0.11686454972361802,0,0
EV_4,1.94025,385.77,0.12305939447236185,0,0
EV_5,1.95915,407.96,0.1249314913567839,0,0
EV_6,2.0007,397.33,0.12464065103015073,0,0
EV_7,1.99655,389.755,0.1165351387939699,0,0
EV_8,2.033,387.985,0.11313892399497487,0,0
EV_9,2.06845,397.24,0.11465098268844225,0,0
FUZZ_1,27.614545454545457,1725.358585858586,0.3231860696287625,0,3
